1 1 0
1 2 0
1 3 0
1 4 0
1 5 0
1 6 2
1 7 0
1 8 2
1 9 0
1 10 0
1 11 0
1 12 2
1 13 0
1 14 0
1 15 0
1 16 0
1 17 0
1 18 0
1 19 2
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
1 25 4
1 26 1
1 27 1
1 28 2
1 29 6
1 30 2
1 31 2
1 32 7
1 33 2
1 34 3
1 35 7
1 36 3
1 37 7
1 38 4
1 39 8
1 40 4
1 41 9
1 42 4
1 43 10
1 44 5
1 45 10
1 46 6
1 47 8
1 48 11
1 49 6
1 50 10
1 51 12
1 52 11
1 53 7
1 54 11
1 55 13
1 56 13
1 57 13
1 58 13
1 59 13
2 1 0
2 2 0
2 3 0
2 4 0
2 5 0
2 6 0
2 7 0
2 8 0
2 9 1
2 10 0
2 11 0
2 12 2
2 13 2
2 14 21
2 15 13
2 16 29
2 17 6
2 18 7
2 19 11
2 20 37
2 21 19
2 22 18
2 23 24
2 24 39
2 25 22
2 26 37
2 27 36
2 28 34
2 29 49
2 30 60
2 31 150
2 32 65
2 33 77
2 34 173
2 35 649
2 36 103
2 37 286
2 38 192
2 39 456
2 40 195
2 41 1512
2 42 276
2 43 1071
2 44 421
2 45 1082
2 46 584
2 47 940
2 48 1895
2 49 1638
2 50 1181
2 51 893
2 52 3668
